Neighbourhood_Group,Type,Value
Ballard,Price,77.6
Ballard,NumReviews,64
Ballard,Rating,95.4
Ballard,Beds,1
Ballard,Bedrooms,1
Beacon Hill,Price,100.2
Beacon Hill,NumReviews,8.7
Beacon Hill,Rating,90.6
Beacon Hill,Beds,1.5
Beacon Hill,Bedrooms,1.3
Capitol Hill,Price,110
Capitol Hill,NumReviews,0.3
Capitol Hill,Rating,100
Capitol Hill,Beds,1
Capitol Hill,Bedrooms,1
Cascade,Price,150.4
Cascade,NumReviews,24.1
Cascade,Rating,94.6
Cascade,Beds,1.3
Cascade,Bedrooms,1.2
Central Area,Price,67.7
Central Area,NumReviews,12.3
Central Area,Rating,96
Central Area,Beds,1
Central Area,Bedrooms,1
Delridge,Price,300
Delridge,NumReviews,0
Delridge,Rating,93
Delridge,Beds,1
Delridge,Bedrooms,1
Downtown,Price,49
Downtown,NumReviews,37
Downtown,Rating,90
Downtown,Beds,2
Downtown,Bedrooms,1
Interbay,Price,129.2
Interbay,NumReviews,9.7
Interbay,Rating,94.6
Interbay,Beds,1.5
Interbay,Bedrooms,1.3
Lake City,Price,154.3
Lake City,NumReviews,12.8
Lake City,Rating,97.3
Lake City,Beds,2.5
Lake City,Bedrooms,2.3
Magnolia,Price,94
Magnolia,NumReviews,8
Magnolia,Rating,80.5
Magnolia,Beds,1
Magnolia,Bedrooms,1
Northgate,Price,98.4
Northgate,NumReviews,32.7
Northgate,Rating,95.2
Northgate,Beds,1.4
Northgate,Bedrooms,1.3
Other neighborhoods,Price,55
Other neighborhoods,NumReviews,13
Other neighborhoods,Rating,98
Other neighborhoods,Beds,1
Other neighborhoods,Bedrooms,1
Queen Anne,Price,145
Queen Anne,NumReviews,7
Queen Anne,Rating,94.5
Queen Anne,Beds,1
Queen Anne,Bedrooms,1
Queen Anne,Price,164.7
Rainier Valley,Price,128.5
Rainier Valley,NumReviews,11.3
Rainier Valley,Rating,96.8
Rainier Valley,Beds,1.5
Rainier Valley,Bedrooms,1.2
Seward Park,Price,60
Seward Park,NumReviews,14
Seward Park,Rating,89
Seward Park,Beds,1
Seward Park,Bedrooms,1
University District,Price,55
University District,NumReviews,0
University District,Rating,
University District,Beds,1
University District,Bedrooms,1
West Seattle,Price,145
West Seattle,NumReviews,0
West Seattle,Rating,
West Seattle,Beds,1
West Seattle,Bedrooms,1